head,date,body,category
米大統領選予備選、ニューハンプシャー州北部でオバマ氏とマケイン氏が勝利,2008/01/8,11月の米大統領選に向けた各党候補指名争いを左右するニューハンプシャー州の予備選の投票が8日、まず同州北部ディックスビルノッチで行われ、民主党は、同党に投じられた10票のうちオバマ候補が7票を獲得して勝利を収めた。共和党はマケイン候補が勝った。民主党ではその他、エドワーズ候補が2票、リチャードソン候補が1票を獲得、クリントン候補は票を獲得できなかった。共和党に投じられた7票のうちマケイン候補は4票を獲得、あとはロムニー候補が2票、ジュニアーニ候補が1票となった。ディックスビルノッチの登録有権者は17人。,1
米大統領選ニューハンプシャー州予備選挙、共和党はマケイン氏が勝利＝メディア,2008/01/9,米メディアの予想によると、米大統領選のニューハンプシャー州予備選挙で、共和党はマケイン上院議員が勝利した。一時は苦戦が伝えられたマケイン氏だが、2月5日のスーパーチューズデーを含めた今後の選挙戦に向け有力候補に踊り出た。同氏は一貫してイラク戦争支持を表明している。,1
米大統領選予備選、共和党はマケイン氏民主党はオバマ氏とクリントン氏が僅差,2008/01/9,米大統領選挙の各党候補指名争いを左右するニューハンプシャー州予備選で、共和党はマケイン上院議員が勝利した。2位はロムニー前マサチューセッツ州知事。一時は苦戦が伝えられたマケイン氏だが、今後の選挙戦に向け有力候補に踊り出た。民主党は、オバマ上院議員とクリントン上院議員が、最近の世論調査で示されたよりもはるかに僅差で争っている。開票率約13％の時点では、クリントン氏が得票率40％でオバマ氏の36％を上回っている。,1
米大統領選ニューハンプシャー州予備選挙、民主党はクリントン氏が勝利＝NBC予想,2008/01/9,米NBCの予想によると、米大統領選挙のニューハンプシャー州予備選挙で、民主党はクリントン上院議員が勝利した。,1
米大統領選ニューハンプシャー州予備選、民主党はクリントン氏が僅差勝利,2008/01/9,11月の米大統領選に向けた各党候補者選びで前半戦のヤマ場となるニューハンプシャー州の予備選が8日行われ、民主党はアイオワ州の党員集会で3位に甘んじたクリントン上院議員が、事前の世論調査に反して僅差でオバマ上院議員を破り、大きな勝利を獲得した。事前の一連の世論調査では、クリントン氏がオバマ氏に大きく水をあけられていたが、今回の勝利により、一進一退のクリントン氏の選挙キャンペーンに大きな弾みがつくことになる。一方共和党はマケイン上院議員が勝利した。2位はロムニー前マサチューセッツ州知事。一時は苦戦が伝えられたマケイン氏だが、今後の選挙戦に向けて有力候補に踊り出た。予備選は今後、ネバダ、サウスカロライナ州での戦いに入っていく。両党ともニューハンプシャー州では接戦となった。開票がほぼ終了した段階で、クリントン氏の得票率39％に対し、オバマ氏の得票率は37％。共和党はマケイン氏が37％でロムニー氏は32％だった。民主党の争いでは、結果が判明した深夜にかけ、クリントン氏がオバマ氏をほぼ終始リードする展開となった。オバマ氏はニューハンプシャーで勝利してクリントン氏を連敗に追い込み、民主党の候補者選びでトップランナーとしての座を固めたい意向だった。同氏はクリントン氏の勝利を祝福しつつも「私は引き続き闘志を燃やしており、先に進む準備ができている」と述べた。出口調査によると、クリントン氏は女性および年配の有権者の支持を獲得、一方、アイオワ州党員集会でオバマ氏勝利の原動力となった若い有権者の票はそれほど集まらなかった。クリントン氏はマンチェスターで歓喜の声を上げる支持者に対し「あなたがたの話に耳を傾け、その過程でわたし自身の声を見出した。ニューハンプシャー州がたった今わたしに与えてくれたような再起をアメリカにももたらそう」と呼び掛けた。,1
米大統領選、リチャードソン知事が候補指名争いから撤退へ,2008/01/10,米国のメディアは9日、今年11月の米大統領選に向けて民主党の候補者選びに名乗りを上げていたリチャードソンニューメキシコ州知事が、これまでの予備選などでの低調な結果を受け、指名レースから撤退すると報じた。8日にニューハンプシャー州で行われた予備選での同知事の得票率は5％で、クリントン上院議員、オバマ上院議員、エドワーズ元上院議員に続く4位にとどまった。同知事は選挙戦からの撤退を10日に発表する見通しという。,1
北朝鮮の非核化、年内に達成可能＝米国務次官補,2008/01/11,北朝鮮核問題をめぐる6カ国協議の米首席代表を務めるヒル国務次官補は10日、韓国の李明博次期大統領と会談後、北朝鮮の核開発計画を年内に終わらせることは可能だとの見方を示した。北朝鮮は2007年末の期限までの核計画申告を実行しなかった。ヒル次官補はまた、李氏の訪米を招請した。次官補は李氏との会談後、記者団に対し、年内に核開発計画を終わらせることが不可能だとする理由はないと述べた上で、「これまでの6カ国協議で、さまざまな困難や期限が守られなかったことはあったが、結局は成果を出してきた」と語った。,1
中国政府、通信業界の再編を最終的に承認＝香港紙,2008/01/11,11日付サウスチャイナモーニングポスト紙によると、中国政府は、懸案とされていた通信業界の再編を最終的に承認した。これを受け、あらゆるサービスの提供が可能な3大企業の設立に向け合併が促される見通し。10日の株式市場では、承認の観測で中国連合通信（チャイナユニコム）(0762.HK)が7％、中国電信（チャイナテレコム）が6％上昇した。同紙が匿名筋の話として伝えたところによると、先月と今月の会議で政府指導者が業界再編を最終的に了承した。ただUBSは10日のリポートで、再編は8月の北京オリンピックまで考えにくく、2009年にずれ込む可能性も増している、との見方を示した。,1
米国の反ダンピング制度、日本が報復措置の承認をWTOに申請,2008/01/11,日本は、米国の反ダンピング（不当廉売）制度をめぐり、米国に対する報復措置の承認を求めて世界貿易機関（WTO）に申請を行った。WTOの文書で11日、明らかになった。WTO日本代表団員はロイターに対し、「ゼロイング」と呼ばれる反ダンピング関税制度がWTOで不当と判断されたにもかかわらず、米国はこれに従って是正措置をとっていないため、日本は米国からの輸入品に年間最大2億5000万ドルの追加関税をかける対抗措置の承認を求める、と述べた。,1
バーナンキFRB議長、米経済について下院議長と14日に協議,2008/01/13,バーナンキ米連邦準備理事会（FRB）議長が14日にペロシ米下院議長と会談し、米経済押し上げのための連携方法などについて協議することが分かった。同議長のスポークスマンが12日に明らかにした。このところ市場関係者らの間では、住宅市場の冷え込みや原油高、株式相場の下落などを背景に、米国が年内に景気後退（リセッション）入りするとの懸念が広がっている。同スポークスマンによると、1対1で行われる会談でペロシ氏は、議会がどういった対策を打つべきかについてバーナンキ議長の考えを聞くとともに、民主党指導層の考えをバーナンキ議長に伝える方針だという。一方、12日付のニューヨーク･タイムズ紙は、ブッシュ大統領が28日に行う一般教書演説では、減税などを柱とした景気刺激策が発表される可能性があると報じている。,1
米上院小委員会、欧米大手金融機関4社に召喚状,2008/01/15,米ウォールストリートジャーナル（WSJ）電子版は14日、欧米大手金融機関4社がヘッジファンドの株式配当への課税回避を手助けするため不適切な金融取引を行ったかを調査している上院小委員会から召喚状を受け取ったと報じた。同紙が関係筋の情報として伝えたところによると、問題の金融機関はシティグループ(C.N)、リーマンブラザーズLEH.N、モルガンスタンレー(MS.N)、UBSUBSN.VXの4社。同4社は、大手ヘッジファンドを含む海外投資家が米国株の配当課税を回避するのを手助けするため、これらの投資家とデリバティブ取引を行った疑惑が出ている。  シティグループ当局者やモルガンスタンレーのスポークスマンはコメントを拒否。リーマンとUBSのコメントは得られていない。WSJによると、小委員会の調査担当者は、多くのヘッジファンドに対してもデリバティブの活用について聞き取り調査しているほか、連邦税務当局もこれらの取引に関する情報を収集している。調査担当者は、それらの取引に関する電子メール、マーケティング資料、他の文書などを2000年1月まで遡って提出するよう求めている。さらに、4社を通じて取引を行った顧客に関する情報提供も求めている。それらの顧客には、アンジェロゴードン、JPモルガンチェース傘下のハイブリッジキャピタルマネジメント、JMGトリトン、KBCオルタナティブインベストメントマネジメントなどのヘッジファンドが含まれるという。各ファンドのコメントは得られていない。,1
米大統領選ミシガン州予備選、共和党はロムニー氏が勝利＝メディア予想,2008/01/16,米メディアの報道によると、15日に行われた米大統領選のミシガン州予備選挙で、共和党は同州出身のロムニー前マサチューセッツ州知事が勝利した。,1
米大統領選ミシガン州予備選、共和党はロムニー氏勝利,2008/01/16,15日行われた米大統領選のミシガン州予備選で、共和党は同州出身のロムニー前マサチューセッツ州知事が勝利した。同氏の今回の勝利で、マケイン上院議員の勢いは抑えられ、共和党の大統領候補指名争いが一段と混沌としてきた。これまでの主要な党員集会や予備選でいずれも2位に甘んじてきた同氏は、出身州であるミシガン州予備選で勝利することが、今後の選挙戦継続の必須条件だった。民主党も同州で予備選の投票自体は行ったが、州側が投票日程を守らなかったことから、党全国委員会が今年夏の党大会への代議員資格はく奪処分を科し、同州予備選の指名候補選びは実質的な影響力がなくなった。その結果、オバマ上院議員とエドワーズ元上院議員は見送り、クリントン上院議員が勝利する見込み。次の焦点は19日に行われるネバダ州党員集会とサウスカロライナ州予備選に移っており、民主党のオバマ、クリントン、エドワーズの3候補は15日夜、ネバダ州で討論会を実施。共和党のマケイン、ハッカビー両候補はすでにミシガン州からサウスカロライナ州に向かっており、ロムニー候補も16日に合流する予定。,1
米大統領、18日に景気刺激策の概要を発表＝ホワイトハウス,2008/01/18,ブッシュ大統領は18日に景気刺激策の概要を発表する。ホワイトハウスのフラット副報道官が17日、明らかにした。「大統領は、短期的に成長を促す、一時的で効果的な手段をもたらすと思われる政策について話す」と述べた。,1
バーゼル委、複雑な金融商品で銀行に自己資本積み増し要請へ,2008/04/17,日米欧の銀行監督当局で構成するバーゼル銀行監視委員会は16日、複雑な金融商品を保有する金融機関に対し、自己資本の積み増しを求める方針を示した。米サブプライムローン（信用度の低い借り手向け住宅ローン）問題で価格が急落したような仕組み債やリスクの高いトレーディングが対象となる予定。仕組み債の発行保有取引に関与する金融機関の負担が増すのは確実とみられる。ウニクレディト銀行のクレジットリサーチ担当グローバルヘッド、ルイスマグラノク氏は「金融機関の収益は落ちるだろうが、健全性は増す。もうかる取引が健全な取引でないケースが多いからだ」と述べた。銀行監視委員会は、金融機関に対して、日々の業務に支障をきたさないよう、リスクの少ない流動性調達手段を確保することも求めていく方針。同委員会のウェリンク会長は「監督当局は次の危機を予測できないが、すでに起きたことから教訓を学べば、危機を乗り切れる強い金融システムの実現を促すことができる」と述べた。7カ国財務相中央銀行総裁会議（G7）は、金融機関が信用収縮で多額の損失を出していることを受けて、金融機関の監督を強化することで合意した。アナリストは、今回の発表について、金融機関は健全な取引を行わざるを得なくなると指摘。これまでは規制の抜け穴を利用して、監督機関の目の届かないところでリスクの高い投資が行われてきたが、これにより抜け穴がふさがれるとの見方を示している。スタンダード&プアーズ（S&P）は、今回の発表を歓迎したうえで、規制の全面改定ではなく「バーゼル2.1」とでも呼べるような微調整になるとの見方を示した。,1
米製造業の株価が下落、米経済成長への懸念で,2008/04/18,複数の米複合製造業大手の幹部は17日、経済成長の鈍化が事業に悪影響を及ぼしている兆候がみられるとし、2008年見通しを調整した。これを受けて、ユナイテッドテクノロジーズ(UTX.N)、テキストロン(TXT.N)、ダナハー(DHR.N)などの株が売られた。これら3社はすべて、市場予想を上回る増益決算を発表している。自動二輪大手ハーレーダビッドソン(HOG.N)は、08年利益見通しを前年比15─20％減と従来予想から下方修正したほか、数百人規模の人員削減計画を明らかにし、米消費セクターの低迷を裏付けた。ユナイテッドテクノロジーズは、米国内外の成長鈍化に直面し、費用削減の方法について検討していることを明らかにした。また、長引く米住宅市場の低迷のほか、同社事業に占める割合の高い商業建築セクターでも需要後退の兆しがみられると指摘した。業界団体Manufacturers Alliance/MAPIの事業見通し指数は57と、12月の64から低下し、成長の鈍化が予想されていることが示された。,1
米国産牛肉の輸入規制緩和で合意、正式発表へ＝韓国農林省,2008/04/18,韓国農林省は18日、米国産牛肉の輸入規制緩和で合意したことを明らかにした。農林省の報道官は「現在詳細を調整中で午後6時（日本時間同）に正式発表する」と述べた。米国産牛肉輸入問題で正式合意すれば、北米自由貿易協定（NAFTA）以来の大型協定である米韓自由貿易協定（FTA）批准の障害が取り除かれることになる。,1
8地域で景気判断下方修正、企業収益伸び悩み＝日銀地域経済報告,2008/04/18,日銀は18日、各支店からの景気報告をとりまとめた「地域経済報告（さくらリポート）」を発表した。9地域のうち8地域で景気判断を下方修正した。足もとの景気については「エネルギー原材料価格高の影響などから、全体として減速している」と総括。前回報告（1月）の「全体として緩やかな拡大基調にある」から判断を引き下げた。総括判断の下方修正は2期連続。全国的に企業収益の伸び悩みや設備投資の増勢鈍化など、これまで景気を支えてきた企業部門に弱い動きが広がっている。＜北海道以外は下方修正＞地域別では、全9地域のうち北海道を除く8地域が生産や設備投資など企業部門を中心にやや弱めの動きが見られることを理由に、判断を下方修正。8地域同時の下方修正は、2005年4月の調査開始以来初めて。ただ、各地域をみてみると、減速しつつも緩やかな「拡大基調にある」とする東海、近畿から、「やや弱めの動きが続いている」とする北海道まで、依然として地域差がみられる。鮫島正大大阪支店長は近畿圏の景気判断を下方修正した背景について「原材料高や円高により企業収益にかげりが見られることが主な理由。中小企業は業況が悪化方向にあり、08年度設備投資計画も手控え姿勢が見られる。賃金面でも賞与について抑制的であり、前回より景気が減速していると判断した」と述べた。＜新興国向け輸出は好調、設備投資は鈍化＞企業部門はこれまで輸出好調が基点となって景気拡大をけん引してきたが、今回もさくらレポートでは引き続き輸出については全体として増加傾向と判断。鮫島大阪支店長は「米国向けは徐々に減少しているが、新興国からの需要は今のところ好調。米経済の減速が今後、新興国にどう影響してくるか、よくみていきたい」と指摘。総括判断引き下げの理由のひとつとなった設備投資についてさくらレポートでは「企業収益が足もと伸び悩んでいることなどを背景に、高水準ながら増勢が鈍化しているとの報告が目立った」と指摘。前回報告と比較すると、北陸、関東甲信越、東海、近畿、四国が判断をやや下方修正した。近畿では「設備投資は、これまで数年にわたり増加してきており、昨年度は17％もの増加となったため、今年度は業種を問わず増勢は鈍化してくる可能性はある」（大阪支店長）と反動減の要素もあるとしたほか、「中小企業については収益を見て判断してくる傾向があり、足元は少し鈍ってきている」と報告。,1
米大統領、住宅都市開発長官にプレストン中小企業庁長官を指名,2008/04/19,ブッシュ米大統領は18日、住宅都市開発省（HUD）次期長官に、スティーブプレストン中小企業庁長官を指名した。就任には上院の承認が必要。ジャクソン現HUD長官は、家族と過ごす時間を増やしたいとして辞任する意向を示していた。同長官は、在任中に問題を起こしており、HUDの住宅市場の問題への対応を困難にしている可能性があるとし、議会から辞任を求める声が高まっていた。,1
オバマクリントン両候補、相手がネガティブキャンペーンを展開と非難,2008/04/21,米大統領選の民主党候補指名争いは、注目されているペンシルベニア州での予備選を2日後に控え、バラクオバマ、ヒラリークリントン両上院議員が州内で選挙運動を展開した。クリントン候補は、かつて自身に最も批判的だったうちの1人とされる地方紙の発行人から支持を獲得した。民主党の予備選は6週間ぶりで、同党の候補指名争いで大きな試金石となる。同州での世論調査ではクリントン氏がリードしているが、オバマ氏は最近になり、以前許していた2ケタ台のリードを大幅に縮めている。両候補とも積極的に選挙運動を行う一方、双方とも相手がネガティブキャンペーンを展開しているとして非難し合っている。同州レディングでの選挙集会でオバマ氏は、「ワシントンの政界により長くいて、ゲームの仕方をよく知っているから彼女を選ぶのか」と問いかけ、自身は共通の基盤を模索する、クリントン氏とは違うタイプの候補であると強調した。一方、ベスレヘムでの集会でクリントン氏は、先週のフィラデルフィアでの討論会以降、ネガティブキャンペーンを展開しているのはオバマ氏だと指摘。「ここ数日、対立候補のキャンペーンが非常にネガティブな内容になっていることにはまったく驚かない。私たちの間には見ての通り、大きな相違があると思うからだ。これは指導力の選択だ。私にはあなた方が頼ることができる指導力がある」と述べた。クリントン氏は夫である前大統領のビルクリントン氏と共にホワイトハウスに入った1993年、不正融資疑惑などで保守勢力による一連の調査の対象になったが、当時、調査の大半を資金面で支援したピッツバーグトリビューンレビュー紙の発行人が20日、クリントン氏への支持を表明した。,1
EPAの交渉再開で一致、北朝鮮問題解決に緊密連携＝日韓首脳会談,2008/04/21,福田康夫首相と韓国の李明博（イミョンバク）大統領は21日午前、首相官邸で会談した。会談後の共同会見で両首脳は、日韓経済連携協定（EPA）の交渉再開や拉致（らち）問題を含めた北朝鮮問題に対する緊密連携などで一致したと語った。 今年後半には、福田首相が韓国を訪問する。福田首相は会見で、日韓の経済関係が一層緊密となることが重要とし、そのためには「日韓EPAが重要な役割を果たすことで（李大統領と）一致した」と語った。今後、両国間で実務協議を行い、EPA推進に向けた交渉を再開する。また、北朝鮮問題を「日韓最大の共通課題」（福田首相）と位置づけ、北朝鮮の核問題解決に向けて日韓の2国間および米国を加えた3国間で緊密に連携していくことで一致。福田首相は、日朝関係に関して「拉致、核、ミサイルという諸懸案を包括的に解決し、不幸な過去を清算、国交正常化を実現する」との立場を説明。李大統領は日本への理解と支持を表明した。,1
米財務省、外国資本による米企業投資に関する新基準案を発表,2008/04/22,米財務省は21日、外国資本による米企業投資について、投資を歓迎する一方で米国の安全保障を確保するこを目指す新基準案を発表した。従来、海外企業が米企業に出資する場合、10％以下であれば対米外国投資委員会（CFIUS）による審査が自動的に免除されていたが、新基準ではこれが適用されなくなる。米国では、2006年にドバイの国営企業が米国の主要港湾の管理権を取得しようとしたことから、翌年に海外投資国家安全保障法案が可決されたが、この新基準案により、施行されることになる。同法案は、外国資本が米企業の経営権を取得するような取引の見直しを求めているが、財務省の新基準では、出資比率や取締役の人数ではなく、たとえ行使しなくとも「事業に対し影響を与える重要事項に対し一定の力を行使できる能力」が審査の対象になる。,1
米大統領選の民主党候補指名争い、ペンシルベニア州はクリントン氏が勝利,2008/04/23,米大統領選挙の民主党候補指名争いは22日、大票田のペンシルベニア州で予備選が行われ、正念場を迎えたクリントン上院議員が激戦を制し、オバマ上院議員に勝利した。これによりクリントン氏は今後の逆転に望みをつなぎ、民主党の候補指名争いはさらに長期化する見通しとなった。開票率75％強の段階で、クリントン氏の得票率は54％でオバマ氏は46％。獲得代議員数でリードするオバマ氏との差を縮めるため大差での勝利を目指していたクリントン氏にとって大きな勝利ではあるが、オバマ氏の優位を覆すに十分とは言えないようだ。クリントン氏は当地で支持者を前に「一部の人々は私を見限り、撤退しろと言うが、米国の国民は投げ出しておらず、彼らには、やはり投げ出したりしない大統領がふさわしい」と述べ、勝利宣言した。出口調査によると、オバマ氏は黒人票10票のうち9票を押さえ、また若年層と男性の支持でクリントン氏にリードした。クリントン氏は高齢者層の60％以上の支持を集めたほか、女性は半分以上が同候補に投票した。ペンシルベニア州で選ばれる代議員数は158人。終盤戦に入った両候補の対決は、5月6日に行われるノースカロライナ州とインディアナ州の予備選に焦点が移る。,1
米政府、北朝鮮のシリアへの核拡散疑惑めぐり秘密公聴会,2008/04/23,複数の米議会筋によると、ブッシュ政権は24日、北朝鮮のシリアへの核拡散疑惑について、上下両院の外交、軍事、情報特別委員会を対象に秘密公聴会を行う計画。米政府は、昨年9月6日、イスラエルがシリア国内に謎の空爆を行って以来、この問題について公にはほとんど発言していない。米メディアは、この攻撃の標的が北朝鮮と協力して建設された可能性のある核施設だったと報じていた。この件については、昨年少数の議員に対して説明が行われたが、今回説明対象が大幅に拡大する決定が下されたのは、北朝鮮による核プログラムの申告合意が近づいていることを受けたものとみられている。申告が実現すれば、米国は、北朝鮮のテロ支援国家指定およびテロ支援国との貿易に関する法律に伴う規制を緩和するとみられている。ある議会関係者とブッシュ政権の元北朝鮮専門家は、今回の公聴会はこうした規制の緩和が正当であることを議員に納得させることが目的、との考えを示した。ホワイトハウスおよび国家情報長官室の報道官は、コメントを拒否した。,1
米国、北朝鮮がシリアの核開発を支援したと確信,2008/04/25,米国は、北朝鮮のシリアへの核開発協力疑惑をめぐり、昨年イスラエルがシリアの原子炉とみられる施設を空爆する前後にわたり、北朝鮮が、秘密の核プログラムに関しシリアに支援を行ったとの結論を下した。24日記者団に公開された米情報当局の報告書類で明らかになった。報告は「われわれは、さまざまな情報に基づき、北朝鮮が、原子炉の空爆前および空爆後にシリアの秘密核プログラムを支援したと確信している」としている。また、米政府高官は、シリアの原子炉とみられる施設への対応について、米国とイスラエルが協議していたことを明らかにし、イスラエルが施設を独自で破壊することを決めたと述べた。,1
